site,headline,storyURL,scrapedate,cat
cbs,['\n            Wisconsin Lt. Governor on Blake shooting\n        '],https://www.cbsnews.com/video/wisconsin-lt-governor-mandela-barnes-on-the-police-shooting-of-jacob-blake-bidens-visit/,9/14/2020 19:19,lightblue
cbs,['\n            Hazardous air quality threatens farmworkers after major wildfires\n        '],https://www.cbsnews.com/news/california-wildfires-farmworkers-labor-to-feed-america-despite-covid-19-heat-smoke-and-unsafe-air-quality/,9/14/2020 19:19,lightblue
cbs,['\n            The Art of Protest\n        '],https://www.cbsnews.com/video/amid-the-racial-justice-movement-artists-wield-their-art-as-a-tool-for-change/,9/14/2020 19:19,lightblue
cbs,['\n            Man suffocated in Rochester police custody\n        '],https://www.cbsnews.com/video/newly-released-body-camera-video-shows-naked-man-suffocating-in-police-custody-in-rochester-ny/,9/14/2020 19:19,lightblue
cbs,"['\n            What is the ""Rising American Electorate"" and will it turn out?\n        ']",https://www.cbsnews.com/news/2020-presidential-election-rising-american-electorate/,9/14/2020 19:19,lightblue
cbs,"['\n            Battleground Tracker: Biden gains edge in Arizona, leads big in Minnesota\n        ']",https://www.cbsnews.com/news/biden-trump-poll-arizona-minnesota-09-14-2020/,9/14/2020 19:19,lightblue
cbs,['\n            Trump holds indoor campaign rally near Las Vegas\n        '],https://www.cbsnews.com/news/trump-rally-nevada-indoors-henderson-las-vegas/,9/14/2020 19:19,lightblue
cbs,['\n            New Biden ads target Black men\n        '],https://www.cbsnews.com/news/biden-campaign-ad-target-black-men/,9/14/2020 19:19,lightblue
cbs,"['\n            Trump claims at rally that Dems are ""trying to rig the election""\n        ']",https://www.cbsnews.com/news/trump-rally-nevada-watch-live-stream-today-2020-09-12/,9/14/2020 19:19,lightblue
cbs,['\n            Trump admin. pushes to conclude census count\n        '],https://www.cbsnews.com/video/trump-administration-pushes-to-conclude-2020-census-count/,9/14/2020 19:19,lightblue
cbs,['\n            Trump defends his COVID-19 response\n        '],https://www.cbsnews.com/video/trump-defends-decision-to-withhold-information-on-covid-19-threat/,9/14/2020 19:19,lightblue
cbs,['\n            Trump dismisses question on white privilege\n        '],https://www.cbsnews.com/video/president-trump-dismisses-bob-woodwards-question-on-white-privilege/,9/14/2020 19:19,lightblue
cbs,['\n            Campaigns ramp up efforts in swing states\n        '],https://www.cbsnews.com/video/president-trump-and-joe-biden-pitch-to-key-battleground-states/,9/14/2020 19:19,lightblue
cbs,['\n            More Americans seeking unemployment\n        '],https://www.cbsnews.com/video/us-unemployment-continues-to-rise-analysis-2020-09-10/,9/14/2020 19:19,lightblue
cbs,['\n            Arizona teen to become one of first female Eagle Scouts\n        '],https://www.cbsnews.com/news/arizona-teenager-to-become-one-of-first-female-eagle-scouts/,9/14/2020 19:19,lightblue
cbs,['\n            Father and son are fighting hunger in Dallas\n        '],https://www.cbsnews.com/news/father-and-son-kids-bring-life-nonprofit-meals/,9/14/2020 19:19,lightblue
cbs,['\n            Woman spreads kindness at Houston airport\n        '],https://www.cbsnews.com/news/woman-shares-cards-of-kindness-at-houston-airport-during-coronavirus-pandemic/,9/14/2020 19:19,lightblue
